Rank 69 | Hero: Fjorm | Vote count: 2654 | Series: Heroes 
Rank 70 | Hero: Nowi | Vote count: 2596 | Series: Awakening 
Rank 71 | Hero: Shinon | Vote count: 2576 | Series: Radiant Dawn, Path of Radiance 
Rank 72 | Hero: Joshua | Vote count: 2575 | Series: The Sacred Stones 
Rank 73 | Hero: Leonie | Vote count: 2503 | Series: Three Houses (War Arc), Three Houses (Academy Arc) 
Rank 74 | Hero: Hubert | Vote count: 2453 | Series: Three Houses (Academy Arc), Three Houses (War Arc) 
Rank 75 | Hero: Zelgius | Vote count: 2441 | Series: Path of Radiance, Radiant Dawn 
Rank 76 | Hero: Caeda | Vote count: 2400 | Series: Shadow Dragon and the Blade of Light / Shadow Dragon, Mystery of the Emblem / New Mystery of the Emblem 
Rank 77 | Hero: Catria | Vote count: 2350 | Series: Gaiden / Echoes: Shadows of Valentia, Shadow Dragon and the Blade of Light / Shadow Dragon, Mystery of the Emblem / New Mystery of the Emblem 
Rank 78 | Hero: Nils | Vote count: 2336 | Series: The Blazing Blade 
Rank 79 | Hero: Corrin (male) | Vote count: 2294 | Series: Fates 
Rank 80 | Hero: Ayra | Vote count: 2166 | Series: Genealogy of the Holy War 
Rank 81 | Hero: Rinkah | Vote count: 2159 | Series: Fates 
Rank 82 | Hero: Elincia | Vote count: 2132 | Series: Radiant Dawn, Path of Radiance 
Rank 83 | Hero: Maiko | Vote count: 2078 | Series: Tokyo Mirage Sessions ♯FE Encore 
Rank 84 | Hero: Myrrh | Vote count: 2066 | Series: The Sacred Stones 
Rank 85 | Hero: Berkut | Vote count: 2031 | Series: Gaiden / Echoes: Shadows of Valentia 
Rank 86 | Hero: Xander | Vote count: 1947 | Series: Fates 
Rank 87 | Hero: Lyon | Vote count: 1945 | Series: The Sacred Stones 
Rank 88 | Hero: Felicia | Vote count: 1918 | Series: Fates 
Rank 89 | Hero: Ishtar | Vote count: 1870 | Series: Genealogy of the Holy War 
Rank 90 | Hero: Leif | Vote count: 1828 | Series: Thracia 776, Genealogy of the Holy War 
Rank 91 | Hero: Sharena | Vote count: 1780 | Series: Heroes 
Rank 92 | Hero: Ryoma | Vote count: 1779 | Series: Fates 
Rank 93 | Hero: Morgan (female) | Vote count: 1767 | Series: Awakening 
Rank 94 | Hero: Touma & Cain | Vote count: 1760 | Series: Tokyo Mirage Sessions ♯FE Encore 
Rank 95 | Hero: Mila | Vote count: 1741 | Series: Gaiden / Echoes: Shadows of Valentia 
Rank 96 | Hero: Marisa | Vote count: 1694 | Series: The Sacred Stones 
Rank 97 | Hero: Charlotte | Vote count: 1687 | Series: Fates 
Rank 98 | Hero: Kris (male) | Vote count: 1662 | Series: Mystery of the Emblem / New Mystery of the Emblem 
Rank 99 | Hero: Tibarn | Vote count: 1646 | Series: Path of Radiance, Radiant Dawn 
Rank 100 | Hero: Finn | Vote count: 1625 | Series: Genealogy of the Holy War, Thracia 776, Genealogy of the Holy War 
Rank 101 | Hero: Kiria & Tharja | Vote count: 1589 | Series: Tokyo Mirage Sessions ♯FE Encore 
